source_ip,destination_ip,source_port,destination_port,protocol,bytes_sent,bytes_received,duration_seconds,failed_logins,risk_score,label
10.0.0.1,172.16.0.1,40000,22,TCP,6000000,500,0.3,8,90,1
10.0.0.2,172.16.0.2,40001,443,TCP,2000,4000,12,0,10,0
10.0.0.3,172.16.0.3,40002,443,TCP,2000,4000,12,0,10,0
10.0.0.4,172.16.0.4,40003,443,TCP,2000,4000,12,0,10,0
10.0.0.5,172.16.0.5,40004,443,TCP,2000,4000,12,0,10,0
10.0.0.6,172.16.0.6,40005,22,TCP,6000000,500,0.3,8,90,1
10.0.0.7,172.16.0.7,40006,443,TCP,2000,4000,12,0,10,0
10.0.0.8,172.16.0.8,40007,443,TCP,2000,4000,12,0,10,0
10.0.0.9,172.16.0.9,40008,443,TCP,2000,4000,12,0,10,0
10.0.0.10,172.16.0.10,40009,443,TCP,2000,4000,12,0,10,0
10.0.0.11,172.16.0.1,40010,22,TCP,6000000,500,0.3,8,90,1
10.0.0.12,172.16.0.2,40011,443,TCP,2000,4000,12,0,10,0
10.0.0.13,172.16.0.3,40012,443,TCP,2000,4000,12,0,10,0
10.0.0.14,172.16.0.4,40013,443,TCP,2000,4000,12,0,10,0
10.0.0.15,172.16.0.5,40014,443,TCP,2000,4000,12,0,10,0
10.0.0.16,172.16.0.6,40015,22,TCP,6000000,500,0.3,8,90,1
10.0.0.17,172.16.0.7,40016,443,TCP,2000,4000,12,0,10,0
10.0.0.18,172.16.0.8,40017,443,TCP,2000,4000,12,0,10,0
10.0.0.19,172.16.0.9,40018,443,TCP,2000,4000,12,0,10,0
10.0.0.20,172.16.0.10,40019,443,TCP,2000,4000,12,0,10,0
10.0.0.1,172.16.0.1,40020,22,TCP,6000000,500,0.3,8,90,1
10.0.0.2,172.16.0.2,40021,443,TCP,2000,4000,12,0,10,0
10.0.0.3,172.16.0.3,40022,443,TCP,2000,4000,12,0,10,0
10.0.0.4,172.16.0.4,40023,443,TCP,2000,4000,12,0,10,0
10.0.0.5,172.16.0.5,40024,443,TCP,2000,4000,12,0,10,0
10.0.0.6,172.16.0.6,40025,22,TCP,6000000,500,0.3,8,90,1
10.0.0.7,172.16.0.7,40026,443,TCP,2000,4000,12,0,10,0
10.0.0.8,172.16.0.8,40027,443,TCP,2000,4000,12,0,10,0
10.0.0.9,172.16.0.9,40028,443,TCP,2000,4000,12,0,10,0
10.0.0.10,172.16.0.10,40029,443,TCP,2000,4000,12,0,10,0
10.0.0.11,172.16.0.1,40030,22,TCP,6000000,500,0.3,8,90,1
10.0.0.12,172.16.0.2,40031,443,TCP,2000,4000,12,0,10,0
10.0.0.13,172.16.0.3,40032,443,TCP,2000,4000,12,0,10,0
10.0.0.14,172.16.0.4,40033,443,TCP,2000,4000,12,0,10,0
10.0.0.15,172.16.0.5,40034,443,TCP,2000,4000,12,0,10,0
10.0.0.16,172.16.0.6,40035,22,TCP,6000000,500,0.3,8,90,1
10.0.0.17,172.16.0.7,40036,443,TCP,2000,4000,12,0,10,0
10.0.0.18,172.16.0.8,40037,443,TCP,2000,4000,12,0,10,0
10.0.0.19,172.16.0.9,40038,443,TCP,2000,4000,12,0,10,0
10.0.0.20,172.16.0.10,40039,443,TCP,2000,4000,12,0,10,0
10.0.0.1,172.16.0.1,40040,22,TCP,6000000,500,0.3,8,90,1
10.0.0.2,172.16.0.2,40041,443,TCP,2000,4000,12,0,10,0
10.0.0.3,172.16.0.3,40042,443,TCP,2000,4000,12,0,10,0
10.0.0.4,172.16.0.4,40043,443,TCP,2000,4000,12,0,10,0
10.0.0.5,172.16.0.5,40044,443,TCP,2000,4000,12,0,10,0
10.0.0.6,172.16.0.6,40045,22,TCP,6000000,500,0.3,8,90,1
10.0.0.7,172.16.0.7,40046,443,TCP,2000,4000,12,0,10,0
10.0.0.8,172.16.0.8,40047,443,TCP,2000,4000,12,0,10,0
10.0.0.9,172.16.0.9,40048,443,TCP,2000,4000,12,0,10,0
10.0.0.10,172.16.0.10,40049,443,TCP,2000,4000,12,0,10,0
10.0.0.11,172.16.0.1,40050,22,TCP,6000000,500,0.3,8,90,1
10.0.0.12,172.16.0.2,40051,443,TCP,2000,4000,12,0,10,0
10.0.0.13,172.16.0.3,40052,443,TCP,2000,4000,12,0,10,0
10.0.0.14,172.16.0.4,40053,443,TCP,2000,4000,12,0,10,0
10.0.0.15,172.16.0.5,40054,443,TCP,2000,4000,12,0,10,0
10.0.0.16,172.16.0.6,40055,22,TCP,6000000,500,0.3,8,90,1
10.0.0.17,172.16.0.7,40056,443,TCP,2000,4000,12,0,10,0
10.0.0.18,172.16.0.8,40057,443,TCP,2000,4000,12,0,10,0
10.0.0.19,172.16.0.9,40058,443,TCP,2000,4000,12,0,10,0
10.0.0.20,172.16.0.10,40059,443,TCP,2000,4000,12,0,10,0
