supplier_id,country,cost,delivery_time,reliability_score,defect_rate,delay_history,risk_label
SUP-0001,Mexico,118.76,14.63,86.74,5.42,2,Medium
SUP-0002,South Korea,38.28,16.17,84.88,3.22,8,Low
SUP-0003,Brazil,66.34,16.65,80.45,5.98,5,Medium
SUP-0004,China,77.33,21.02,99,2.66,5,Medium
SUP-0005,India,51.73,8.5,82.43,1.16,7,Low
SUP-0006,Thailand,90.08,17.56,77.75,3.2,5,Medium
SUP-0007,China,153.74,13.09,90.54,1.91,0,Medium
SUP-0008,India,111.41,14.99,91.63,5.0,3,Medium
SUP-0009,Germany,73.03,13.2,76.29,3.28,8,Medium
SUP-0010,India,74.31,18.76,69.56,3.05,5,Medium
SUP-0011,China,155.67,18.47,69.49,2.02,5,Medium
SUP-0012,Canada,129.31,15.71,88.29,2.94,1,Medium
SUP-0013,South Korea,119.26,10.98,90.64,8.1,3,Low
SUP-0014,Germany,94.22,7.83,71.28,2.52,5,Low
SUP-0015,Canada,30,11.58,84.97,2.83,4,Low
SUP-0016,China,50.37,14.53,74.94,2.76,6,High
SUP-0017,China,145.04,12.51,79.26,2.97,1,Medium
SUP-0018,Japan,54.2,18.86,97.89,0.47,3,Low
SUP-0019,USA,66.76,10.63,91.25,3.92,9,Low
SUP-0020,Japan,89.99,22.73,67.19,4.49,6,High
SUP-0021,Germany,118.57,18.1,76.53,2.64,6,Medium
SUP-0022,Brazil,72.39,14.25,68.71,2.65,2,Low
SUP-0023,India,61.48,16.29,89.17,3.74,3,Low
SUP-0024,Japan,129.0,21.84,84.71,3.52,5,Medium
SUP-0025,Mexico,70.86,13.64,71.6,3.17,4,Low
SUP-0026,Japan,33.8,15.96,66.27,3.25,6,Low
SUP-0027,South Korea,44.2,19.29,97.72,3.73,4,Low
SUP-0028,Mexico,86.57,14.03,90.5,1.51,5,Low
SUP-0029,Japan,103.37,12.6,91.02,0.24,7,Low
SUP-0030,USA,120.16,25.2,79.58,3.53,3,Medium
